Field,opcode,rs,rt,rd,shamt,funct,
Bits,31-26,25-21,20-16,15-11,10-6,5-0,
,,,,,,,
Mnemonic,Proxy,CPI,opcode,funct,rs,rt,rd
mfc2,FALSE,2,18,0,0,,
cfc2,FALSE,2,18,0,2,,
mtc2,FALSE,2,18,0,4,,
ctc2,FALSE,2,18,0,6,,
rtps,FALSE,2,18,1,,,
nclip,FALSE,2,18,6,,,
op,FALSE,2,18,12,,,
dpcs,FALSE,2,18,16,,,
intpl,FALSE,2,18,17,,,
mvmva,FALSE,2,18,18,,,
ncds,FALSE,2,18,19,,,
cdp,FALSE,2,18,20,,,
ncdt,FALSE,2,18,22,,,
nccs,FALSE,2,18,27,,,
cc,FALSE,2,18,28,,,
ncs,FALSE,2,18,30,,,
nct,FALSE,2,18,32,,,
sqr,FALSE,2,18,40,,,
dcpl,FALSE,2,18,41,,,
dpct,FALSE,2,18,42,,,
avsz3,FALSE,2,18,45,,,
avsz4,FALSE,2,18,46,,,
rtpt,FALSE,2,18,48,,,
gpf,FALSE,2,18,61,,,
gpl,FALSE,2,18,62,,,
ncct,FALSE,2,18,63,,,
