Field,opcode,c,rs4,rt,rd,shamt,funct
Bits,31-26,25,24-21,20-16,15-11,10-6,5-0
,,,,,,,
Mnemonic,Proxy,CPI,opcode,c,rs4,rt,funct
sll,FALSE,1,0,,,,0
srl,FALSE,1,0,,,,2
sra,FALSE,1,0,,,,3
sllv,FALSE,1,0,,,,4
srlv,FALSE,1,0,,,,6
srav,FALSE,1,0,,,,7
jr,FALSE,2,0,,,,8
jalr,FALSE,2,0,,,,9
syscall,FALSE,2,0,,,,12
break_,FALSE,2,0,,,,13
mfhi,FALSE,1,0,,,,16
mthi,FALSE,1,0,,,,17
mflo,FALSE,1,0,,,,18
mtlo,FALSE,1,0,,,,19
mult,FALSE,1,0,,,,24
multu,FALSE,1,0,,,,25
div,FALSE,2,0,,,,26
divu,FALSE,2,0,,,,27
add,FALSE,1,0,,,,32
addu,FALSE,1,0,,,,33
sub,FALSE,1,0,,,,34
subu,FALSE,1,0,,,,35
and,FALSE,1,0,,,,36
or,FALSE,1,0,,,,37
xor,FALSE,1,0,,,,38
nor,FALSE,1,0,,,,39
slt,FALSE,1,0,,,,42
sltu,FALSE,1,0,,,,43
bltz,FALSE,2,1,,,0,
bgez,FALSE,2,1,,,1,
bltzal,FALSE,2,1,,,16,
bgezal,FALSE,2,1,,,17,
j,FALSE,2,2,,,,
jal,FALSE,2,3,,,,
beq,FALSE,2,4,,,,
bne,FALSE,2,5,,,,
blez,FALSE,2,6,,,,
bgtz,FALSE,2,7,,,,
addi,FALSE,1,8,,,,
addiu,FALSE,1,9,,,,
slti,FALSE,1,10,,,,
sltiu,FALSE,1,11,,,,
andi,FALSE,1,12,,,,
ori,FALSE,1,13,,,,
xori,FALSE,1,14,,,,
lui,FALSE,1,15,,,,
mfc0,FALSE,2,16,0,0,,
mtc0,FALSE,2,16,0,4,,
bc0f,FALSE,2,16,0,8,0,
bc0t,FALSE,2,16,0,8,1,
tlbr,FALSE,2,16,1,0,,1
tlbwi,FALSE,2,16,1,0,,2
tlbwr,FALSE,2,16,1,0,,6
tlbp,FALSE,2,16,1,0,,8
rfe,FALSE,2,16,1,0,,16
lb,FALSE,2,32,,,,
lh,FALSE,2,33,,,,
lwl,FALSE,2,34,,,,
lw,FALSE,2,35,,,,
lbu,FALSE,2,36,,,,
lhu,FALSE,2,37,,,,
lwr,FALSE,2,38,,,,
sb,FALSE,2,40,,,,
sh,FALSE,2,41,,,,
swl,FALSE,2,42,,,,
sw,FALSE,2,43,,,,
swr,FALSE,2,46,,,,
cop2,TRUE,0,18,,,,
lwc2,FALSE,2,50,,,,
swc2,FALSE,2,58,,,,
