,,,,Handler defined,,,,,,
Bus address,Length (bytes),State object path,Handler function path,u8 read,u8 write,u16 read,u16 write,u32 read,u32 write,Additional arguments
0x0000_0000,0x0020_0000,memory.main_memory,memory::main_memory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0x0020_0000,0x0020_0000,memory.main_memory,memory::main_memory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0x0040_0000,0x0020_0000,memory.main_memory,memory::main_memory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0x0060_0000,0x0020_0000,memory.main_memory,memory::main_memory,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0x1F00_0000,0x0000_0100,memory.pio,memory::pio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0x1F80_1000,0x0000_0004,memory.expansion_1_base_address,memory::expansion_1_base_address,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1004,0x0000_0004,memory.expansion_2_base_address,memory::expansion_2_base_address,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1008,0x0000_0004,memory.expansion_1_delay,memory::expansion_1_delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_100C,0x0000_0004,memory.expansion_3_delay,memory::expansion_3_delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1010,0x0000_0004,memory.bios_rom_control,memory::bios_rom_control,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1014,0x0000_0004,memory.spu_delay,memory::spu_delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1018,0x0000_0004,memory.cdrom_delay,memory::cdrom_delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_101C,0x0000_0004,memory.expansion_2_delay,memory::expansion_2_delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1020,0x0000_0004,memory.common_delay_control,memory::common_delay_control,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1040,0x0000_0004,padmc.padmc1040,padmc::padmc1040,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1044,0x0000_0004,padmc.stat,padmc::stat,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
0x1F80_1048,0x0000_0002,padmc.mode,padmc::mode,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
0x1F80_104A,0x0000_0002,padmc.ctrl,padmc::ctrl,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
0x1F80_104E,0x0000_0002,padmc.baud_reload,padmc::baud_reload,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
0x1F80_1060,0x0000_0004,memory.ram_size_control,memory::ram_size_control,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1070,0x0000_0004,intc.stat,intc::stat,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
0x1F80_1074,0x0000_0004,intc.mask,intc::mask,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
0x1F80_1080,0x0000_0004,dmac.mdecin_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_1084,0x0000_0004,dmac.mdecin_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_1088,0x0000_0004,dmac.mdecin_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_1090,0x0000_0004,dmac.mdecout_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_1094,0x0000_0004,dmac.mdecout_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_1098,0x0000_0004,dmac.mdecout_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10A0,0x0000_0004,dmac.gpu_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_10A4,0x0000_0004,dmac.gpu_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_10A8,0x0000_0004,dmac.gpu_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10B0,0x0000_0004,dmac.cdrom_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_10B4,0x0000_0004,dmac.cdrom_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_10B8,0x0000_0004,dmac.cdrom_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10C0,0x0000_0004,dmac.spu_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_10C4,0x0000_0004,dmac.spu_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_10C8,0x0000_0004,dmac.spu_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10D0,0x0000_0004,dmac.pio_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_10D4,0x0000_0004,dmac.pio_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_10D8,0x0000_0004,dmac.pio_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10E0,0x0000_0004,dmac.otc_madr,dmac::madr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1080) / 0x10) as usize
0x1F80_10E4,0x0000_0004,dmac.otc_bcr,dmac::bcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1084) / 0x10) as usize
0x1F80_10E8,0x0000_0004,dmac.otc_chcr,dmac::chcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,((address - 0x1F80_1088) / 0x10) as usize
0x1F80_10F0,0x0000_0004,dmac.dpcr,dmac::dpcr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_10F4,0x0000_0004,dmac.dicr,dmac::dicr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
0x1F80_1100,0x0000_0004,timers.timer0_count,timers::count,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1100) / 0x10) as usize
0x1F80_1104,0x0000_0004,timers.timer0_mode,timers::mode,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1104) / 0x10) as usize
0x1F80_1108,0x0000_0004,timers.timer0_target,timers::target,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1108) / 0x10) as usize
0x1F80_1110,0x0000_0004,timers.timer1_count,timers::count,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1100) / 0x10) as usize
0x1F80_1114,0x0000_0004,timers.timer1_mode,timers::mode,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1104) / 0x10) as usize
0x1F80_1118,0x0000_0004,timers.timer1_target,timers::target,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1108) / 0x10) as usize
0x1F80_1120,0x0000_0004,timers.timer2_count,timers::count,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1100) / 0x10) as usize
0x1F80_1124,0x0000_0004,timers.timer2_mode,timers::mode,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1104) / 0x10) as usize
0x1F80_1128,0x0000_0004,timers.timer2_target,timers::target,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,((address - 0x1F80_1108) / 0x10) as usize
