Bus address,Length (bytes),State object path
0x0000_0000,0x0020_0000,main_memory
0x0020_0000,0x0020_0000,main_memory
0x0040_0000,0x0020_0000,main_memory
0x0060_0000,0x0020_0000,main_memory
0x1F00_0000,0x0000_0100,pio
0x1F80_1000,0x0000_0004,memory_control.expansion_1_base_address
0x1F80_1004,0x0000_0004,memory_control.expansion_2_base_address
0x1F80_1008,0x0000_0004,memory_control.expansion_1_delay
0x1F80_100C,0x0000_0004,memory_control.expansion_3_delay
0x1F80_1010,0x0000_0004,memory_control.bios_rom_control
0x1F80_1014,0x0000_0004,memory_control.spu_delay
0x1F80_1018,0x0000_0004,memory_control.cdrom_delay
0x1F80_101C,0x0000_0004,memory_control.expansion_2_delay
0x1F80_1020,0x0000_0004,memory_control.common_delay_control
0x1F80_1040,0x0000_0004,padmc.padmc1040
0x1F80_1044,0x0000_0004,padmc.stat
0x1F80_1048,0x0000_0002,padmc.mode
0x1F80_104A,0x0000_0002,padmc.ctrl
0x1F80_104E,0x0000_0002,padmc.baud_reload
0x1F80_1060,0x0000_0004,memory_control.ram_size_control
0x1F80_1070,0x0000_0004,intc.stat
0x1F80_1074,0x0000_0004,intc.mask
0x1F80_1080,0x0000_0004,dmac.mdecin_madr
0x1F80_1084,0x0000_0004,dmac.mdecin_bcr
0x1F80_1088,0x0000_0004,dmac.mdecin_chcr
0x1F80_1090,0x0000_0004,dmac.mdecout_madr
0x1F80_1094,0x0000_0004,dmac.mdecout_bcr
0x1F80_1098,0x0000_0004,dmac.mdecout_chcr
0x1F80_10A0,0x0000_0004,dmac.gpu_madr
0x1F80_10A4,0x0000_0004,dmac.gpu_bcr
0x1F80_10A8,0x0000_0004,dmac.gpu_chcr
0x1F80_10B0,0x0000_0004,dmac.cdrom_madr
0x1F80_10B4,0x0000_0004,dmac.cdrom_bcr
0x1F80_10B8,0x0000_0004,dmac.cdrom_chcr
0x1F80_10C0,0x0000_0004,dmac.spu_madr
0x1F80_10C4,0x0000_0004,dmac.spu_bcr
0x1F80_10C8,0x0000_0004,dmac.spu_chcr
0x1F80_10D0,0x0000_0004,dmac.pio_madr
0x1F80_10D4,0x0000_0004,dmac.pio_bcr
0x1F80_10D8,0x0000_0004,dmac.pio_chcr
0x1F80_10E0,0x0000_0004,dmac.otc_madr
0x1F80_10E4,0x0000_0004,dmac.otc_bcr
0x1F80_10E8,0x0000_0004,dmac.otc_chcr
0x1F80_10F0,0x0000_0004,dmac.dpcr
0x1F80_10F4,0x0000_0004,dmac.dicr
0x1F80_1100,0x0000_0004,timers.timer0_count
0x1F80_1104,0x0000_0004,timers.timer0_mode
0x1F80_1108,0x0000_0004,timers.timer0_target
0x1F80_1110,0x0000_0004,timers.timer1_count
0x1F80_1114,0x0000_0004,timers.timer1_mode
0x1F80_1118,0x0000_0004,timers.timer1_target
0x1F80_1120,0x0000_0004,timers.timer2_count
0x1F80_1124,0x0000_0004,timers.timer2_mode
0x1F80_1128,0x0000_0004,timers.timer2_target
0x1F80_1800,0x0000_0001,cdrom.status
0x1F80_1801,0x0000_0001,cdrom.cdrom1801
0x1F80_1802,0x0000_0001,cdrom.cdrom1802
0x1F80_1803,0x0000_0001,cdrom.cdrom1803
0x1F80_1810,0x0000_0004,gpu.gpu1810
0x1F80_1814,0x0000_0004,gpu.gpu1814
0x1F80_1C00,0x0000_0002,spu.voice0_voll
0x1F80_1C02,0x0000_0002,spu.voice0_volr
0x1F80_1C04,0x0000_0002,spu.voice0_srate
0x1F80_1C06,0x0000_0002,spu.voice0_saddr
0x1F80_1C08,0x0000_0004,spu.voice0_adsr
0x1F80_1C0C,0x0000_0002,spu.voice0_cvol
0x1F80_1C0E,0x0000_0002,spu.voice0_raddr
0x1F80_1C10,0x0000_0002,spu.voice1_voll
0x1F80_1C12,0x0000_0002,spu.voice1_volr
0x1F80_1C14,0x0000_0002,spu.voice1_srate
0x1F80_1C16,0x0000_0002,spu.voice1_saddr
0x1F80_1C18,0x0000_0004,spu.voice1_adsr
0x1F80_1C1C,0x0000_0002,spu.voice1_cvol
0x1F80_1C1E,0x0000_0002,spu.voice1_raddr
0x1F80_1C20,0x0000_0002,spu.voice2_voll
0x1F80_1C22,0x0000_0002,spu.voice2_volr
0x1F80_1C24,0x0000_0002,spu.voice2_srate
0x1F80_1C26,0x0000_0002,spu.voice2_saddr
